,FID1,IID1,FID2,IID2,RT,EZ,Z0,Z1,Z2,PI_HAT,PHE,DST,PPC,RATIO
2213,KW_2020_PG_04,KW_2020_PG_04,KW_2020_PG_20,KW_2020_PG_20,UN,NA,1e-04,0.014,0.9859,0.9929,-1,0.997855,1,NA
2149,KW_2020_PG_03,KW_2020_PG_03,KW_2020_PG_07,KW_2020_PG_07,UN,NA,3e-04,0.0144,0.9853,0.9925,-1,0.997751,1,4394
2666,KW_2020_PG_17,KW_2020_PG_17,KW_2020_PG_23,KW_2020_PG_23,UN,NA,2e-04,0.0148,0.985,0.9924,-1,0.997716,1,NA
87,48336,48336,48336KWEG2012,48336KWEG2012,UN,NA,1e-04,0.0153,0.9846,0.9922,-1,0.997658,1,1261
2039,KW_2020_PG_01,KW_2020_PG_01,KW_2020_PG_12,KW_2020_PG_12,UN,NA,1e-04,0.0156,0.9843,0.9921,-1,0.997611,1,NA
2422,KW_2020_PG_09,KW_2020_PG_09,KW_2020_PG_19,KW_2020_PG_19,UN,NA,1e-04,0.0156,0.9843,0.9921,-1,0.997606,1,NA
582,48339,48339,48339KWEG2012,48339KWEG2012,UN,NA,1e-04,0.0165,0.9834,0.9916,-1,0.997472,1,3779
3076,KW_2020_PI_05,KW_2020_PI_05,KW_2020_PI_06,KW_2020_PI_06,UN,NA,2e-04,0.0171,0.9828,0.9913,-1,0.997382,1,NA
998,ARPI_2013_4001,ARPI_2013_4001,KW_2020_PG_21,KW_2020_PG_21,UN,NA,1e-04,0.0197,0.9802,0.9901,-1,0.997002,1,NA
1464,ARRB_2009_1291,ARRB_2009_1291,ARRB_xx_1291,ARRB_xx_1291,UN,NA,1e-04,0.0198,0.98,0.99,-1,0.99697,1,3642
3512,OO_03_1,OO_03_1,OO_05_1,OO_05_1,UN,NA,2e-04,0.0218,0.9779,0.9888,-1,0.996641,1,2207.5
256,48337,48337,48337KWEG2012,48337KWEG2012,UN,NA,1e-04,0.0239,0.976,0.9879,-1,0.996358,1,1713
421,48338,48338,48338KWEG2012,48338KWEG2012,UN,NA,1e-04,0.0263,0.9736,0.9868,-1,0.996004,1,3741
1350,ARPI_2013_4006,ARPI_2013_4006,KW_2020_PG_18,KW_2020_PG_18,UN,NA,1e-04,0.0262,0.9736,0.9868,-1,0.996005,1,NA
2318,KW_2020_PG_06,KW_2020_PG_06,KW_2020_PG_18,KW_2020_PG_18,UN,NA,1e-04,0.0299,0.97,0.985,-1,0.995464,1,4462
3483,OO_02,OO_02,OO_17,OO_17,UN,NA,2e-04,0.0347,0.9651,0.9824,-1,0.994702,1,NA
3259,KW_2020_PI_12,KW_2020_PI_12,OO_07,OO_07,UN,NA,2e-04,0.0349,0.9649,0.9823,-1,0.994672,1,4469
1342,ARPI_2013_4006,ARPI_2013_4006,KW_2020_PG_06,KW_2020_PG_06,UN,NA,1e-04,0.0417,0.9582,0.979,-1,0.99367,1,NA
3381,KW_2022_PI_01,KW_2022_PI_01,OO_13,OO_13,UN,NA,6e-04,0.0583,0.9411,0.9703,-1,0.991044,1,4359
3655,OO_10,OO_10,OO_14,OO_14,UN,NA,4e-04,0.0598,0.9398,0.9697,-1,0.990855,1,NA
3714,OO_15,OO_15,OO_16,OO_16,UN,NA,5e-04,0.0655,0.934,0.9667,-1,0.989971,1,2205.5
3202,KW_2020_PI_08,KW_2020_PI_08,OO_11,OO_11,UN,NA,4e-04,0.0741,0.9254,0.9625,-1,0.988687,1,NA
1114,ARPI_2013_4003,ARPI_2013_4003,ARPI_2013_4004,ARPI_2013_4004,UN,NA,8e-04,0.081,0.9182,0.9587,-1,0.98756,1,2187
257,48337,48337,48338,48338,UN,NA,0.0077,0.5256,0.4667,0.7295,-1,0.918637,1,40.3194
339,48337KWEG2012,48337KWEG2012,48338,48338,UN,NA,0.0087,0.5315,0.4598,0.7255,-1,0.917489,1,35.1494
258,48337,48337,48338KWEG2012,48338KWEG2012,UN,NA,0.0081,0.5354,0.4565,0.7242,-1,0.917043,1,30.4242
340,48337KWEG2012,48337KWEG2012,48338KWEG2012,48338KWEG2012,UN,NA,0.0091,0.5405,0.4504,0.7207,-1,0.916042,1,32.8247
426,48338,48338,48342,48342,UN,NA,0.0045,0.6137,0.3819,0.6887,-1,0.90612,1,74.1905
92,48336,48336,48339,48339,UN,NA,0.0063,0.616,0.3777,0.6857,-1,0.905314,1,39.6538
93,48336,48336,48339KWEG2012,48339KWEG2012,UN,NA,0.0057,0.6193,0.375,0.6847,-1,0.904969,1,49.8281
176,48336KWEG2012,48336KWEG2012,48339,48339,UN,NA,0.0053,0.6203,0.3744,0.6846,-1,0.904913,1,48.1515
177,48336KWEG2012,48336KWEG2012,48339KWEG2012,48339KWEG2012,UN,NA,0.0044,0.6232,0.3724,0.684,-1,0.904696,1,65.8
506,48338KWEG2012,48338KWEG2012,48342,48342,UN,NA,0.0055,0.6213,0.3732,0.6838,-1,0.904703,1,52.871
90,48336,48336,48338,48338,UN,NA,0.0059,0.6274,0.3667,0.6804,-1,0.903688,1,44.5072
174,48336KWEG2012,48336KWEG2012,48338,48338,UN,NA,0.0051,0.631,0.3639,0.6794,-1,0.903345,1,57.3273
10,48335KWEG2012,48335KWEG2012,48341,48341,UN,NA,0.0092,0.6246,0.3662,0.6785,-1,0.903293,1,27
91,48336,48336,48338KWEG2012,48338KWEG2012,UN,NA,0.0066,0.6343,0.359,0.6762,-1,0.902464,1,35.4066
175,48336KWEG2012,48336KWEG2012,48338KWEG2012,48338KWEG2012,UN,NA,0.0057,0.6373,0.357,0.6757,-1,0.902251,1,43.1558
1727,GRNL_KW_2021_01,GRNL_KW_2021_01,GRNL_KW_2021_03,GRNL_KW_2021_03,UN,NA,0.0085,0.8001,0.1914,0.5914,-1,0.876929,1,72.72
263,48337,48337,48342,48342,UN,NA,0.3305,0.2256,0.4439,0.5567,-1,0.883882,1,5.0019
345,48337KWEG2012,48337KWEG2012,48342,48342,UN,NA,0.3288,0.2347,0.4365,0.5539,-1,0.88293,1,5.2505
9,48335KWEG2012,48335KWEG2012,48340KWEG2012,48340KWEG2012,UN,NA,0.3412,0.222,0.4369,0.5479,-1,0.881785,1,5.4327
96,48336,48336,48342,48342,UN,NA,0.3127,0.2913,0.3961,0.5417,-1,0.878382,1,5.4334
180,48336KWEG2012,48336KWEG2012,48342,48342,UN,NA,0.31,0.2972,0.3928,0.5414,-1,0.878144,1,5.7466
5,48335KWEG2012,48335KWEG2012,48338,48338,UN,NA,0.3168,0.3026,0.3806,0.5319,-1,0.875639,1,5.3076
6,48335KWEG2012,48335KWEG2012,48338KWEG2012,48338KWEG2012,UN,NA,0.3129,0.3151,0.372,0.5296,-1,0.874725,1,5.8168
88,48336,48336,48337,48337,UN,NA,0.3596,0.2315,0.4089,0.5247,-1,0.875772,1,4.1256
172,48336KWEG2012,48336KWEG2012,48337,48337,UN,NA,0.3561,0.239,0.4049,0.5244,-1,0.875498,1,4.2621
173,48336KWEG2012,48336KWEG2012,48337KWEG2012,48337KWEG2012,UN,NA,0.353,0.2478,0.3991,0.523,-1,0.874923,1,4.6338
89,48336,48336,48337KWEG2012,48337KWEG2012,UN,NA,0.3564,0.2415,0.4021,0.5229,-1,0.875055,1,4.3181
2881,KW_2020_PG_22,KW_2020_PG_22,KW_2020_PG_23,KW_2020_PG_23,UN,NA,0.0123,0.9488,0.0389,0.5133,-1,0.853504,1,61.4308
2665,KW_2020_PG_17,KW_2020_PG_17,KW_2020_PG_22,KW_2020_PG_22,UN,NA,0.0134,0.9471,0.0395,0.513,-1,0.853496,1,76.8077
3307,KW_2020_PI_14,KW_2020_PI_14,KW_2020_PI_15,KW_2020_PI_15,UN,NA,0.012,0.9507,0.0373,0.5127,-1,0.853302,1,87.0426
424,48338,48338,48340KWEG2012,48340KWEG2012,UN,NA,0.4064,0.1692,0.4244,0.509,-1,0.873575,1,3.8789
504,48338KWEG2012,48338KWEG2012,48340KWEG2012,48340KWEG2012,UN,NA,0.4007,0.1845,0.4148,0.507,-1,0.872663,1,4.2448
2882,KW_2020_PG_22,KW_2020_PG_22,KW_2020_PG_24,KW_2020_PG_24,UN,NA,0.0139,0.9658,0.0203,0.5032,-1,0.850557,1,57.0714
422,48338,48338,48339,48339,UN,NA,0.4129,0.1716,0.4155,0.5013,-1,0.871601,1,3.885
423,48338,48338,48339KWEG2012,48339KWEG2012,UN,NA,0.4089,0.1798,0.4113,0.5012,-1,0.871356,1,4.119
503,48338KWEG2012,48338KWEG2012,48339KWEG2012,48339KWEG2012,UN,NA,0.4022,0.1955,0.4023,0.5001,-1,0.870645,1,4.5045
971,ARPI_2013_4001,ARPI_2013_4001,ARPI_2013_4006,ARPI_2013_4006,UN,NA,0,1,0,0.5,-1,0.84391,1,62.9394
987,ARPI_2013_4001,ARPI_2013_4001,KW_2020_PG_06,KW_2020_PG_06,UN,NA,0,1,0,0.5,-1,0.843576,1,87.3333
995,ARPI_2013_4001,ARPI_2013_4001,KW_2020_PG_18,KW_2020_PG_18,UN,NA,0,1,0,0.5,-1,0.844266,1,80.9216
1109,ARPI_2013_4002,ARPI_2013_4002,OO_18,OO_18,UN,NA,0,1,0,0.5,-1,0.844067,1,49.253
1353,ARPI_2013_4006,ARPI_2013_4006,KW_2020_PG_21,KW_2020_PG_21,UN,NA,0,1,0,0.5,-1,0.844059,1,60.6029
1364,ARPI_2013_4006,ARPI_2013_4006,KW_2020_PI_12,KW_2020_PI_12,UN,NA,0,1,0,0.5,-1,0.841324,1,62.697
1378,ARPI_2013_4006,ARPI_2013_4006,OO_07,OO_07,UN,NA,0,1,0,0.5,-1,0.840167,1,45.8571
2321,KW_2020_PG_06,KW_2020_PG_06,KW_2020_PG_21,KW_2020_PG_21,UN,NA,0,1,0,0.5,-1,0.843852,1,94.6136
2332,KW_2020_PG_06,KW_2020_PG_06,KW_2020_PI_12,KW_2020_PI_12,UN,NA,0,1,0,0.5,-1,0.841449,1,116.9722
2346,KW_2020_PG_06,KW_2020_PG_06,OO_07,OO_07,UN,NA,0,1,0,0.5,-1,0.840161,1,53.5696
2418,KW_2020_PG_09,KW_2020_PG_09,KW_2020_PG_15,KW_2020_PG_15,UN,NA,0,1,0,0.5,-1,0.844451,1,90.2
2569,KW_2020_PG_15,KW_2020_PG_15,KW_2020_PG_19,KW_2020_PG_19,UN,NA,0,1,0,0.5,-1,0.844394,1,76.5849
2601,KW_2020_PG_15,KW_2020_PG_15,OO_10_1pos2,OO_10_1pos2,UN,NA,0.2568,0.4864,0.2568,0.5,-1,0.862747,1,9.7213
2709,KW_2020_PG_18,KW_2020_PG_18,KW_2020_PG_21,KW_2020_PG_21,UN,NA,0,1,0,0.5,-1,0.844555,1,69.4237
2720,KW_2020_PG_18,KW_2020_PG_18,KW_2020_PI_12,KW_2020_PI_12,UN,NA,0,1,0,0.5,-1,0.84211,1,96.2558
2734,KW_2020_PG_18,KW_2020_PG_18,OO_07,OO_07,UN,NA,0,1,0,0.5,-1,0.840747,1,43.3438
3007,KW_2020_PI_02,KW_2020_PI_02,KW_2020_PI_12,KW_2020_PI_12,UN,NA,0,1,0,0.5,-1,0.845354,1,84.4694
3253,KW_2020_PI_12,KW_2020_PI_12,OO_02,OO_02,UN,NA,0,1,0,0.5,-1,0.842936,1,57.375
3271,KW_2020_PI_12,KW_2020_PI_12,OO_17,OO_17,UN,NA,0,1,0,0.5,-1,0.84293,1,58.2676
3471,OO_02,OO_02,OO_07,OO_07,UN,NA,0,1,0,0.5,-1,0.842057,1,39.6571
3600,OO_07,OO_07,OO_17,OO_17,UN,NA,0,1,0,0.5,-1,0.842108,1,40.1346
502,48338KWEG2012,48338KWEG2012,48339,48339,UN,NA,0.4064,0.1875,0.406,0.4998,-1,0.870792,1,4.2954
2159,KW_2020_PG_03,KW_2020_PG_03,KW_2020_PG_21,KW_2020_PG_21,UN,NA,0.0133,0.9753,0.0114,0.4991,-1,0.849263,1,88.3696
2373,KW_2020_PG_07,KW_2020_PG_07,KW_2020_PG_21,KW_2020_PG_21,UN,NA,0.0127,0.9767,0.0107,0.499,-1,0.849208,1,109.8378
988,ARPI_2013_4001,ARPI_2013_4001,KW_2020_PG_07,KW_2020_PG_07,UN,NA,0.0118,0.9797,0.0084,0.4983,-1,0.848955,1,110.4865
984,ARPI_2013_4001,ARPI_2013_4001,KW_2020_PG_03,KW_2020_PG_03,UN,NA,0.013,0.9777,0.0093,0.4982,-1,0.848971,1,90.8
2095,KW_2020_PG_02,KW_2020_PG_02,KW_2020_PG_11,KW_2020_PG_11,UN,NA,0.0117,0.9811,0.0072,0.4977,-1,0.848773,1,59.7647
1056,ARPI_2013_4002,ARPI_2013_4002,KW_2020_PG_02,KW_2020_PG_02,UN,NA,0.0126,0.9798,0.0076,0.4975,-1,0.848745,1,69.4483
2353,KW_2020_PG_06,KW_2020_PG_06,OO_11_1,OO_11_1,UN,NA,0.011,0.989,0,0.4945,-1,0.846921,1,82.4706
2741,KW_2020_PG_18,KW_2020_PG_18,OO_11_1,OO_11_1,UN,NA,0.0118,0.9882,0,0.4941,-1,0.847601,1,76.6667
2316,KW_2020_PG_06,KW_2020_PG_06,KW_2020_PG_16,KW_2020_PG_16,UN,NA,0.012,0.988,0,0.494,-1,0.84754,1,86.8542
2518,KW_2020_PG_12,KW_2020_PG_12,KW_2020_PG_16,KW_2020_PG_16,UN,NA,0.0124,0.9876,0,0.4938,-1,0.846832,1,67.4667
2260,KW_2020_PG_05,KW_2020_PG_05,KW_2020_PG_11,KW_2020_PG_11,UN,NA,0.0126,0.9874,0,0.4937,-1,0.847179,1,65
3112,KW_2020_PI_06,KW_2020_PI_06,KW_2020_PI_07,KW_2020_PI_07,UN,NA,0.0126,0.9874,0,0.4937,-1,0.847051,1,79.5098
3077,KW_2020_PI_05,KW_2020_PI_05,KW_2020_PI_07,KW_2020_PI_07,UN,NA,0.0128,0.9872,0,0.4936,-1,0.847243,1,89.6444
3034,KW_2020_PI_02,KW_2020_PI_02,OO_18,OO_18,UN,NA,0.013,0.987,0,0.4935,-1,0.846598,1,71.6207
2041,KW_2020_PG_01,KW_2020_PG_01,KW_2020_PG_16,KW_2020_PG_16,UN,NA,0.0132,0.9868,0,0.4934,-1,0.846833,1,60.5075
2208,KW_2020_PG_04,KW_2020_PG_04,KW_2020_PG_15,KW_2020_PG_15,UN,NA,0.0169,0.9797,0.0034,0.4933,-1,0.8477,1,51.6282
2570,KW_2020_PG_15,KW_2020_PG_15,KW_2020_PG_20,KW_2020_PG_20,UN,NA,0.0168,0.98,0.0032,0.4932,-1,0.847683,1,59.3676
2615,KW_2020_PG_16,KW_2020_PG_16,KW_2020_PG_18,KW_2020_PG_18,UN,NA,0.0139,0.9861,0,0.4931,-1,0.846994,1,64.619
3679,OO_11,OO_11,OO_15,OO_15,UN,NA,0.0225,0.9689,0.0086,0.4931,-1,0.847951,1,36.027
1385,ARPI_2013_4006,ARPI_2013_4006,OO_11_1,OO_11_1,UN,NA,0.0144,0.9856,0,0.4928,-1,0.846954,1,67.129
3268,KW_2020_PI_12,KW_2020_PI_12,OO_14,OO_14,UN,NA,0.0149,0.9846,5e-04,0.4928,-1,0.847453,1,60.4928
1225,ARPI_2013_4004,ARPI_2013_4004,KW_2020_PI_12,KW_2020_PI_12,UN,NA,0.0207,0.9746,0.0047,0.492,-1,0.847538,1,45.9333
1348,ARPI_2013_4006,ARPI_2013_4006,KW_2020_PG_16,KW_2020_PG_16,UN,NA,0.0161,0.9839,0,0.492,-1,0.846274,1,53.2857
3169,KW_2020_PI_07,KW_2020_PI_07,OO_11,OO_11,UN,NA,0.0167,0.9833,0,0.4917,-1,0.845732,1,50.641
1061,ARPI_2013_4002,ARPI_2013_4002,KW_2020_PG_07,KW_2020_PG_07,UN,NA,0.0258,0.9679,0.0062,0.4902,-1,0.847261,1,51.4744
3021,KW_2020_PI_02,KW_2020_PI_02,OO_07,OO_07,UN,NA,0.0197,0.9803,0,0.4902,-1,0.844354,1,49.7619
1057,ARPI_2013_4002,ARPI_2013_4002,KW_2020_PG_03,KW_2020_PG_03,UN,NA,0.0257,0.9686,0.0057,0.49,-1,0.847195,1,47.7976
3294,KW_2020_PI_13,KW_2020_PI_13,OO_10_1pos2,OO_10_1pos2,UN,NA,0.0231,0.9769,0,0.4885,-1,0.844654,1,33.9
3597,OO_07,OO_07,OO_14,OO_14,UN,NA,0.0233,0.9767,0,0.4883,-1,0.846559,1,43.7188
3680,OO_11,OO_11,OO_16,OO_16,UN,NA,0.0334,0.9568,0.0098,0.4882,-1,0.847072,1,21.4076
2783,KW_2020_PG_19,KW_2020_PG_19,OO_10_1pos2,OO_10_1pos2,UN,NA,0.0246,0.9754,0,0.4877,-1,0.842895,1,29.9853
2454,KW_2020_PG_09,KW_2020_PG_09,OO_10_1pos2,OO_10_1pos2,UN,NA,0.0249,0.9751,0,0.4875,-1,0.842883,1,31.9141
1239,ARPI_2013_4004,ARPI_2013_4004,OO_07,OO_07,UN,NA,0.029,0.9692,0.0018,0.4864,-1,0.846292,1,35.161
3697,OO_13,OO_13,OO_14,OO_14,UN,NA,0.0297,0.9703,0,0.4852,-1,0.844141,1,36.5575
739,48340KWEG2012,48340KWEG2012,48341,48341,UN,NA,0.4518,0.1265,0.4217,0.485,-1,0.868769,1,3.5958
3263,KW_2020_PI_12,KW_2020_PI_12,OO_10,OO_10,UN,NA,0.0303,0.9697,0,0.4848,-1,0.845858,1,31.9457
3382,KW_2022_PI_01,KW_2022_PI_01,OO_14,OO_14,UN,NA,0.0332,0.9668,0,0.4834,-1,0.84403,1,27.4315
3592,OO_07,OO_07,OO_10,OO_10,UN,NA,0.0385,0.9615,0,0.4808,-1,0.845013,1,29.0629
11,48335KWEG2012,48335KWEG2012,48342,48342,UN,NA,0.4596,0.1242,0.4162,0.4783,-1,0.867183,1,3.8879
3654,OO_10,OO_10,OO_13,OO_13,UN,NA,0.0452,0.9548,0,0.4774,-1,0.842761,1,24.3155
3377,KW_2022_PI_01,KW_2022_PI_01,OO_10,OO_10,UN,NA,0.049,0.951,0,0.4755,-1,0.842723,1,18.1889
1154,ARPI_2013_4003,ARPI_2013_4003,KW_2020_PI_12,KW_2020_PI_12,UN,NA,0.0628,0.9348,0.0023,0.4697,-1,0.843085,1,16.4815
2,48335KWEG2012,48335KWEG2012,48336KWEG2012,48336KWEG2012,UN,NA,0.4858,0.0988,0.4154,0.4648,-1,0.864502,1,3.7109
1,48335KWEG2012,48335KWEG2012,48336,48336,UN,NA,0.4901,0.0911,0.4188,0.4644,-1,0.86462,1,3.5277
1168,ARPI_2013_4003,ARPI_2013_4003,OO_07,OO_07,UN,NA,0.0715,0.9285,0,0.4642,-1,0.841809,1,15.6797
3147,KW_2020_PI_07,KW_2020_PI_07,KW_2020_PI_08,KW_2020_PI_08,UN,NA,0.0792,0.9208,0,0.4604,-1,0.839093,1,11.6395
3206,KW_2020_PI_08,KW_2020_PI_08,OO_15,OO_15,UN,NA,0.0849,0.9098,0.0053,0.4602,-1,0.84139,1,12.2997
3207,KW_2020_PI_08,KW_2020_PI_08,OO_16,OO_16,UN,NA,0.0966,0.8966,0.0068,0.4551,-1,0.840494,1,9.4453
585,48339,48339,48342,48342,UN,NA,0.5322,0.0384,0.4293,0.4485,-1,0.862111,1,3.0799
663,48339KWEG2012,48339KWEG2012,48342,48342,UN,NA,0.5279,0.0471,0.425,0.4485,-1,0.861876,1,3.3123
178,48336KWEG2012,48336KWEG2012,48340KWEG2012,48340KWEG2012,UN,NA,0.5311,0.0476,0.4213,0.4451,-1,0.861009,1,3.1267
94,48336,48336,48340KWEG2012,48340KWEG2012,UN,NA,0.5359,0.0397,0.4244,0.4443,-1,0.861018,1,2.9526
740,48340KWEG2012,48340KWEG2012,48342,48342,UN,NA,0.5526,0.0083,0.4391,0.4433,-1,0.861623,1,3.0034
425,48338,48338,48341,48341,UN,NA,0.5602,0,0.4398,0.4398,-1,0.861105,1,2.654
3,48335KWEG2012,48335KWEG2012,48337,48337,UN,NA,0.5603,0,0.4397,0.4397,-1,0.861371,1,2.6137
4,48335KWEG2012,48335KWEG2012,48337KWEG2012,48337KWEG2012,UN,NA,0.5618,0,0.4382,0.4382,-1,0.860843,1,2.9234
505,48338KWEG2012,48338KWEG2012,48341,48341,UN,NA,0.559,0.0072,0.4338,0.4374,-1,0.860204,1,2.8062
259,48337,48337,48339,48339,UN,NA,0.5699,0,0.4301,0.4301,-1,0.859259,1,2.4101
260,48337,48337,48339KWEG2012,48339KWEG2012,UN,NA,0.5704,0,0.4296,0.4296,-1,0.85904,1,2.5579
341,48337KWEG2012,48337KWEG2012,48339,48339,UN,NA,0.5718,0,0.4282,0.4282,-1,0.858636,1,2.6376
342,48337KWEG2012,48337KWEG2012,48339KWEG2012,48339KWEG2012,UN,NA,0.5719,0,0.4281,0.4281,-1,0.858524,1,2.8108
753,48340KWEG2012,48340KWEG2012,GRNL_KW_2021_02,GRNL_KW_2021_02,UN,NA,0.5745,0,0.4255,0.4255,-1,0.85782,1,2.7878
816,48341,48341,48342,48342,UN,NA,0.575,0,0.425,0.425,-1,0.857682,1,2.5887
261,48337,48337,48340KWEG2012,48340KWEG2012,UN,NA,0.5799,0,0.4201,0.4201,-1,0.8574,0.9987,2.2334
343,48337KWEG2012,48337KWEG2012,48340KWEG2012,48340KWEG2012,UN,NA,0.5812,0,0.4188,0.4188,-1,0.856918,1,2.4186
661,48339KWEG2012,48339KWEG2012,48340KWEG2012,48340KWEG2012,UN,NA,0.5815,0,0.4185,0.4185,-1,0.85575,1,2.9203
583,48339,48339,48340KWEG2012,48340KWEG2012,UN,NA,0.5816,0,0.4184,0.4184,-1,0.855779,1,2.6227
8,48335KWEG2012,48335KWEG2012,48339KWEG2012,48339KWEG2012,UN,NA,0.5833,0,0.4167,0.4167,-1,0.855302,1,3.1228
7,48335KWEG2012,48335KWEG2012,48339,48339,UN,NA,0.5835,0,0.4165,0.4165,-1,0.855339,1,2.952
95,48336,48336,48341,48341,UN,NA,0.5909,0,0.4091,0.4091,-1,0.853736,1,2.39
179,48336KWEG2012,48336KWEG2012,48341,48341,UN,NA,0.5915,0,0.4085,0.4085,-1,0.853546,1,2.5297
262,48337,48337,48341,48341,UN,NA,0.5934,0,0.4066,0.4066,-1,0.853609,0.2392,1.9497
20,48335KWEG2012,48335KWEG2012,ARRB_xx_1291,ARRB_xx_1291,UN,NA,0.5955,0,0.4045,0.4045,-1,0.85229,1,2.5574
344,48337KWEG2012,48337KWEG2012,48341,48341,UN,NA,0.5955,0,0.4045,0.4045,-1,0.852931,0.8342,2.0706
19,48335KWEG2012,48335KWEG2012,ARRB_2009_1291,ARRB_2009_1291,UN,NA,0.5966,0,0.4034,0.4034,-1,0.851991,1,2.7054
584,48339,48339,48341,48341,UN,NA,0.5991,0,0.4009,0.4009,-1,0.851741,0.9994,2.2462
662,48339KWEG2012,48339KWEG2012,48341,48341,UN,NA,0.5996,0,0.4004,0.4004,-1,0.851555,1,2.3874
1850,GRNL_KW_2021_02,GRNL_KW_2021_02,Pang2013,Pang2013,UN,NA,0.6042,0,0.3958,0.3958,-1,0.850201,1,2.6791
966,48342,48342,Pang2013,Pang2013,UN,NA,0.6053,0,0.3947,0.3947,-1,0.849907,1,2.5475
825,48341,48341,ARRB_xx_1291,ARRB_xx_1291,UN,NA,0.6054,0,0.3946,0.3946,-1,0.849903,0.6313,2.0243
1596,ARRB_xx_1291,ARRB_xx_1291,Pang2013,Pang2013,UN,NA,0.6054,0,0.3946,0.3946,-1,0.849951,0.9885,2.1697
3027,KW_2020_PI_02,KW_2020_PI_02,OO_11,OO_11,UN,NA,0.215,0.7814,0.0035,0.3943,-1,0.828506,1,10.0427
1530,ARRB_2009_1291,ARRB_2009_1291,Pang2013,Pang2013,UN,NA,0.6065,0,0.3935,0.3935,-1,0.849621,0.999,2.2329
815,48340KWEG2012,48340KWEG2012,Pang2013,Pang2013,UN,NA,0.6066,0,0.3934,0.3934,-1,0.849589,1,2.337
824,48341,48341,ARRB_2009_1291,ARRB_2009_1291,UN,NA,0.607,0,0.393,0.393,-1,0.849444,0.9026,2.0954
594,48339,48339,ARRB_xx_1291,ARRB_xx_1291,UN,NA,0.6075,0,0.3925,0.3925,-1,0.849307,0.9662,2.135
24,48335KWEG2012,48335KWEG2012,GRNL_KW_2021_02,GRNL_KW_2021_02,UN,NA,0.6079,0,0.3921,0.3921,-1,0.849164,1,2.7361
672,48339KWEG2012,48339KWEG2012,ARRB_xx_1291,ARRB_xx_1291,UN,NA,0.6082,0,0.3918,0.3918,-1,0.8491,0.9986,2.2265
593,48339,48339,ARRB_2009_1291,ARRB_2009_1291,UN,NA,0.6092,0,0.3908,0.3908,-1,0.848837,0.9989,2.2323
671,48339KWEG2012,48339KWEG2012,ARRB_2009_1291,ARRB_2009_1291,UN,NA,0.6094,0,0.3906,0.3906,-1,0.84878,1,2.353
439,48338,48338,GRNL_KW_2021_02,GRNL_KW_2021_02,UN,NA,0.612,0,0.388,0.388,-1,0.848006,0.9939,2.1852
829,48341,48341,GRNL_KW_2021_02,GRNL_KW_2021_02,UN,NA,0.6125,0,0.3875,0.3875,-1,0.847894,0.9649,2.1343
900,48342,48342,ARRB_xx_1291,ARRB_xx_1291,UN,NA,0.613,0,0.387,0.387,-1,0.847767,0.9451,2.1172
105,48336,48336,ARRB_xx_1291,ARRB_xx_1291,UN,NA,0.6131,0,0.3869,0.3869,-1,0.84772,0.8952,2.0909
749,48340KWEG2012,48340KWEG2012,ARRB_xx_1291,ARRB_xx_1291,UN,NA,0.6137,0,0.3863,0.3863,-1,0.84748,0.2892,1.9611
189,48336KWEG2012,48336KWEG2012,ARRB_xx_1291,ARRB_xx_1291,UN,NA,0.6138,0,0.3862,0.3862,-1,0.847527,0.9668,2.1345
435,48338,48338,ARRB_xx_1291,ARRB_xx_1291,UN,NA,0.6139,0,0.3861,0.3861,-1,0.847493,0.9199,2.102
109,48336,48336,GRNL_KW_2021_02,GRNL_KW_2021_02,UN,NA,0.6144,0,0.3856,0.3856,-1,0.847364,0.9995,2.2482
899,48342,48342,ARRB_2009_1291,ARRB_2009_1291,UN,NA,0.6144,0,0.3856,0.3856,-1,0.847387,0.9998,2.2761
104,48336,48336,ARRB_2009_1291,ARRB_2009_1291,UN,NA,0.6147,0,0.3853,0.3853,-1,0.847254,0.9967,2.2021
519,48338KWEG2012,48338KWEG2012,GRNL_KW_2021_02,GRNL_KW_2021_02,UN,NA,0.6148,0,0.3852,0.3852,-1,0.84725,1,2.3327
188,48336KWEG2012,48336KWEG2012,ARRB_2009_1291,ARRB_2009_1291,UN,NA,0.6149,0,0.3851,0.3851,-1,0.847224,0.9999,2.2892
193,48336KWEG2012,48336KWEG2012,GRNL_KW_2021_02,GRNL_KW_2021_02,UN,NA,0.615,0,0.385,0.385,-1,0.847235,1,2.32
748,48340KWEG2012,48340KWEG2012,ARRB_2009_1291,ARRB_2009_1291,UN,NA,0.615,0,0.385,0.385,-1,0.847106,0.7328,2.0443
1534,ARRB_xx_1291,ARRB_xx_1291,GRNL_KW_2021_02,GRNL_KW_2021_02,UN,NA,0.6152,0,0.3848,0.3848,-1,0.847094,0.7813,2.0558
434,48338,48338,ARRB_2009_1291,ARRB_2009_1291,UN,NA,0.6153,0,0.3847,0.3847,-1,0.847109,0.9391,2.112
501,48338,48338,Pang2013,Pang2013,UN,NA,0.6155,0,0.3845,0.3845,-1,0.847008,0.9999,2.2891
904,48342,48342,GRNL_KW_2021_02,GRNL_KW_2021_02,UN,NA,0.6155,0,0.3845,0.3845,-1,0.847163,1,2.349
598,48339,48339,GRNL_KW_2021_02,GRNL_KW_2021_02,UN,NA,0.6167,0,0.3833,0.3833,-1,0.846727,0.9999,2.2825
